Sequencial;Sequencial_Reposta;Resposta;Aluno;Pergunta;Resposta2;NívelRubrica
51;51;51;4;34;Porque foram enviadas mais de dez mil cartas com o nome Zé gotinha.;3
52;52;52;4;36;Um menino do Distrito Federa levou o prêmio.;3
65;65;65;5;1;Zé Gotinha foi o mascote da vacina.;2
75;75;75;5;5;Porque a vacina é para o nosso bem, para nos proteger.;2
77;77;77;5;6;É uma doença que causa paralisia infantil.;3
76;76;76;5;7;Porque a vacina nos protege.;2
78;78;78;5;11;Porque era o meio de correspondência da época.;3
79;79;79;5;13;Porque o personagem é forte e passa coragem para a crianças.;3
80;80;80;5;15;Atualmente ele trabalha como escultor.;3
81;81;81;5;16;Esse recurso serve para transcrever falas.;2
82;82;82;5;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ""Aqui, sou uma pessoa ilustre"".";3
83;83;83;5;18;O medo acabou e a campanha foi um sucesso.;3
66;66;66;5;20;Darlan Rosa foi o criador do Zé Gotinha.;3
84;84;84;5;21;Significa ter muito medo.;3
85;85;85;5;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;3
67;67;67;5;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
68;68;68;5;26;O Zé Gotinha foi criado em 1986.;3
74;74;74;5;27;A ideia principal era que alguém forte passasse coragem para quem tinha que se vacinar.;3
69;69;69;5;28;Zé Gotinha era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.;3
70;70;70;5;30;Ele aparecia chorando pois não tinha um nome.;3
71;71;71;5;32;A escolha foi feita através de um concurso.;2
72;72;72;5;34;Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.;3
73;73;73;5;36;Um menino do Distrito Federal levou o prêmio.;3
86;86;86;6;1;Zé Gotinha foi o mascote da vacina.;2
96;96;96;6;5;Porque a vacina é para o nosso bem.;2
98;98;98;6;6;Uma doença que causa paralisia infantil.;3
97;97;97;6;7;Porque a vacina nos protege.;2
99;99;99;6;11;Porque era o meio de correspondência da época.;3
100;100;100;6;13;Porque ele transmite força e coragem.;3
101;101;101;6;15;Atualmente ele trabalha como escultor.;3
102;102;102;6;16;Esse recuso serve para transcrever as falas.;2
103;103;103;6;17;"Sublinhado : Darlan virou até nome de prédio residencial da cidade.
Circulado : ""Aqui, sou uma pessoa ilustre"".";3
104;104;104;6;18;O medo acabou e a campanha foi um sucesso.;3
87;87;87;6;20;Darlan Rosa foi o criador de Zé Gotinha.;3
105;105;105;6;21;Significa ter muito medo.;3
106;106;106;6;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;3
88;88;88;6;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
89;89;89;6;26;Ele foi criando em 1986.;3
95;95;95;6;27;Incentivar as crianças a se vacinar sem medo.;3
90;90;90;6;28;Quando ele nasceu era um boneco com duas gotinhas de pólio, atualmente ele tem braços e pernas.;3
91;91;91;6;30;Ele chorava porque não tinha um nome.;
92;92;92;6;32;Através de um concurso.;2
93;93;93;6;34;Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.;3
94;94;94;6;36;Foi o menino do Distrito Federal.;3
107;107;107;7;1;Zé Gotinha foi o mascote da vacina.;2
117;117;117;7;5;Para o nosso bem.;2
119;119;119;7;6;A doença paralisa as crianças.;2
118;118;118;7;7;Porque a vacina nos protege.;2
120;120;120;7;11;Porque é enviado por meio de correspondência.;2
121;121;121;7;13;porque ele transmite força e coragem.;3
122;122;122;7;15;E atualmente trabalha como um escultor.;3
123;123;123;7;16;Para marcar a fala das pessoas do texto.;2
124;124;124;7;17;sublinhado:  Darlan virou até nome de prédio residencial na cidade.;2
125;125;125;7;18;O medo acabou e a campanha foi um sucesso.;3
108;108;108;7;20;Darlan foi o criador do Zé Gotinha.;3
126;126;126;7;21;Ter muito medo.;3
127;127;127;7;22;Foi selecionado o arquivo de Darlan Rosa, ser o criador.;3
109;109;109;7;25;As propagandas foram assustadora antes do Zé Gotinha.;2
110;110;110;7;26;Zé Gotinha foi criado em 1986.;3
116;116;116;7;27;A ideia principal era passar coragem as crianças tomarem vacinas.;3
111;111;111;7;28;Zé Gotinha é um boneco com duas pólio. E atualmente tem braços e pernas.;3
112;112;112;7;30;Porque ele não tinha um nome.;3
113;113;113;7;32;Pois ele é uma gota de vacina.;1
114;114;114;7;34;Os organizadores por que foram enviada mais de dez mil cartas com o nome de Zé Gotinha.;3
115;115;115;7;36;Foi um menino do Distrito Federal.;3
128;128;128;8;1;Zé Gotinha foi o mascote da vacina.;2
138;138;138;8;5;Para dar proteção contra doenças.;3
140;140;140;8;6;Doença que paralisa as crianças.;2
139;139;139;8;7;Porque protege das doenças.;3
141;141;141;8;11;Porque é enviado por meio de correspondência na época.;2
142;142;142;8;13;Porque ele da força e coragem.;3
143;143;143;8;15;Ele é um escultor.;3
144;144;144;8;16;Para transcrever as falas.;2
145;145;145;8;17;Sublinhando: Darlan até virou nome de prédio na cidade.;3
146;146;146;8;18;O medo acabou para as pessoas e a campanha foi um sucesso.;3
129;129;129;8;20;Darlan Rosa foi a criadora do Zé Gotinha.;3
147;147;147;8;21;Ficar com muito medo.;3
148;148;148;8;22;Foi selecionado do arquivo pessoal de Darlan Rosa, ser o criador.;3
130;130;130;8;25;As pessoas falavam que iria tomar a vacina, mas não na hora, elas tinham medo de tomar. Então o Zé Gotinha foi criado para colocar coragens.;1
131;131;131;8;26;Zé Gotinha foi criado em 1986;3
137;137;137;8;27;A ideia era passar coragem para as crianças a vacinar sem medo.;3
132;132;132;8;28;Era um boneco com duas pólio. Hoje ele tem braços e pernas.;3
133;133;133;8;30;Ele não tinha nome ainda.;3
134;134;134;8;32;Ele é uma gota de vacina.;1
135;135;135;8;34;Os organizadores receberam mais de 10 mil cartas com o nome ''Zé Gotinha.'';3
136;136;136;8;36;Foi um garoto do Distrito Federal.;3
149;149;149;9;1;O mascote  da vacina .;2
159;159;159;9;5;Porque a vacina e para o nosso bem .;2
161;161;161;9;6;Uma doença que causa paralisia infantil .;3
160;160;160;9;7;Porque a vacina é para nos proteger.;2
162;162;162;9;11;Porque é meio da correspondência da época .;3
163;163;163;9;13;Força e coragem.;3
164;164;164;9;15;Atualmente ele trabalha como escultor .;3
165;165;165;9;16;Esse recurso serve para transcrever as falas .;2
166;166;166;9;17;"sublinhado: ""Darlan virou até nome de prédio residencial na cidade "". Circulado :""Aqui sou uma pessoa ilustre"".";3
167;167;167;9;18;O medo acabou e a campanha foi um sucesso.;3
150;150;150;9;20;Ele foi o criador do zé gotinha;3
168;168;168;9;21;Significa ter muito medo .;3
169;169;169;9;22;Foi selecionado do arquivo pessoal Darlan Rosa,seu criador .;3
151;151;151;9;25;As propagandas eram assustadoras antes do zé gotinha .;2
152;152;152;9;26;Ele foi criado no ano de 1986 .;3
158;158;158;9;27;Para incentivar a vacinação .;2
153;153;153;9;28;Era um boneco de duas gotinhas de pólio . Hoje ele tem braços  e pernas .;3
154;154;154;9;30;Ele chorava porque não tinha nome .;3
155;155;155;9;32;Através de um concurso .;2
156;156;156;9;34;Os organizadores  entenderam que o nome deveria ser  zé gotinha pois  receberam  mais de 10 mil cartas do nome zé gotinha.;3
157;157;157;9;36;Foi um menino do Distrito Federal .;3
170;170;170;10;1;O mascote da vacina.;2
180;180;180;10;5;Porque a vacina é para o nosso bem.;2
182;182;182;10;6;Uma doença que causa paralisia infantil.;3
181;181;181;10;7;Porque a vacina é para nos proteger.;2
183;183;183;10;11;Porque era o meio de correspondência da época.;3
184;184;184;10;13;Força e coragem.;
185;185;185;10;15;Atualmente ele trabalha como escultor.;3
186;186;186;10;16;Esse recurso serve para transcrever as falas.;2
187;187;187;10;17;"Sublinhado: ""Darlan virou até nome de prédio residencial na cidade"". Circulado: ""Aqui sou uma pessoa ilustre"".";3
188;188;188;10;18;O medo acabou e a campanha foi um sucesso.;3
171;171;171;10;20;Ele foi o criador do zé gotinha.;3
189;189;189;10;21;Significa ter muito medo .;3
190;190;190;10;22;Foi selecionado do artigo pessoal Darlan Rosa ,seu criador.;2
172;172;172;10;25;As propagandas eram assustadoras antes do zé gotinha.;2
173;173;173;10;26;Ele foi criado no ano de 1986.;3
179;179;179;10;27;Incentivar a vacinação.;2
174;174;174;10;28;Era um um boneco de duas gotinhas de pólio. Hoje ele tem braços e pernas .;3
175;175;175;10;30;Ele chorava porque não tinha nome.;3
176;176;176;10;32;Através de um concurso.;2
177;177;177;10;34;Os organizadores entenderam que o nome deveria ser zé gotinha pois receberam mais de dez mil  cartas com o nome zé gotinha .;3
178;178;178;10;36;Um menino do Distrito Federal.;3
191;191;191;11;1;Zé gotinha e o mascote da vacina.;2
201;201;201;11;5;Porque a vacina e para o nosso bem.;2
203;203;203;11;6;Doença que causa paralisia infantil .;3
202;202;202;11;7;porque a vacina protege de doenças .;3
204;204;204;11;11;Porque era a única tecnologia  naquela época .;2
205;205;205;11;13;Possui uma expressão do dócil e amável que derruba as barreiras do medo .;2
206;206;206;11;15;Atualmente ele trabalha  como  escultor .;3
207;207;207;11;16;Esse recurso serve para transcrever a fala das pessoas da reportagem .;2
208;208;208;11;17;"sublinhado: Darlan virou até nome de prédio residencial na cidade . Circulado ""Aqui, sou uma pessoa ilustre” .";3
209;209;209;11;18;O medo e a campanha foi um sucesso.;2
192;192;192;11;20;Darlan Rosa e o criador do Zé Gotinha.;3
210;210;210;11;21;Significa ter muito medo .;3
211;211;211;11;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;3
193;193;193;11;25;As propagandas eram assustadora antes do Zé Gotinha .;2
194;194;194;11;26;O Zé Gotinha foi criado em 1986.;3
200;200;200;11;27;Incentivar a vacinação  sem medo.;3
195;195;195;11;28;Era um boneco com duas gotinha de pólio. E a atualmente  ele tem braços e pernas e cabeça.;
196;196;196;11;30;Porque ele não tinha nome.;3
197;197;197;11;32;Através  de um concurso .;2
198;198;198;11;34;Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha.;3
199;199;199;11;36;Foi um menino do Distrito Federal .;3
212;212;212;12;1;O mascote da vacina.;2
222;222;222;12;5;Porque a vacina é para o nosso bem.;2
224;224;224;12;6;Doença que causa paralisia infantil.;3
223;223;223;12;7;Porque ela nos protege de doenças.;3
225;225;225;12;11;Porque era um meio de correspondência da época.;
226;226;226;12;13;Possui uma expressão dócil e amável que derruba as barreiras do medo.;2
227;227;227;12;15;Atualmente ele trabalha como escultor.;3
228;228;228;12;16;Esse recurso serve para transcrever falas.;2
229;229;229;12;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade. Sublinhado: ""Aqui sou uma pessoa ilustre"".";3
230;230;230;12;18;O medo acabou e a campanha foi um sucesso.;3
213;213;213;12;20;Ele  foi o criador do Zé Gotinha.;3
231;231;231;12;21;Significa ter muito medo.;3
232;232;232;12;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;
214;214;214;12;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
215;215;215;12;26;Ele foi criado em 1986.;3
221;221;221;12;27;Incentivar a vacinação sem medo.;3
216;216;216;12;28;Era um boneco com duas gotinhas de pólio. E hoje ele tem braços e pernas.;3
217;217;217;12;30;Porque ele ainda não tinha um nome.;3
218;218;218;12;32;Através de um concurso.;2
219;219;219;12;34;Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha.;3
220;220;220;12;36;Foi um menino do Distrito Federal.;3
233;233;233;13;1;O mascote da vacina.;2
243;243;243;13;5;Pois a vacina é para nosso bem.;2
245;245;245;13;6;Doença que causa paralisia infantil.;3
244;244;244;13;7;Porque a vacina nos protege.;2
246;246;246;13;11;Pois era um jeito de comunicação da época.;3
247;247;247;13;13;Porque ele nos transmiti força e coragem.;3
248;248;248;13;15;Atualmente ele é escultor em Brasília.;3
249;249;249;13;16;Esse recurso serve para transcrever as falas.;2
250;250;250;13;17;Sublinhado: Darlan virou nome de prédio residencial na cidade. Circulado Aqui, sou uma pessoa ilustre”.;3
251;251;251;13;18;O medo acabou e a campanha foi um sucesso.;3
234;234;234;13;20;Foi o criador do zé gotinha.;3
252;252;252;13;21;Significa ter muito medo.;3
253;253;253;13;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador.;
235;235;235;13;25;As propagandas eram assustaras antes do zé gotinha.;2
236;236;236;13;26;Foi criado em 1986.;3
242;242;242;13;27;Incentivar as criança a se vacinarem sem medo.;3
237;237;237;13;28;Era um boneco com duas gotinhas de pólio. Atualmente ele tem braços e pernas.;3
238;238;238;13;30;Porque ele ainda não tinha nome.;3
239;239;239;13;32;Através de um concurso.;2
240;240;240;13;34;Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.;3
241;241;241;13;36;Foi um menino do distrito federal.;3
254;254;254;14;1;Foi o mascote da vacina.;2
264;264;264;14;5;Porque a vacina é para nosso bem.;2
266;266;266;14;6;Doença que causa paralisia infantil.;3
265;265;265;14;7;Porque a vacina é para nos proteger.;2
267;267;267;14;11;Porque era um meio de comunicação na época.;3
268;268;268;14;13;Porque ele nos transmite força e coragem.;3
269;269;269;14;15;Atualmente ele é escultor em Brasília.;3
270;270;270;14;16;Esse recurso serve para transcrever as falas.;2
271;271;271;14;17;Sublinhado: Darlan virou até nome de prédio residencial na cidade.Circulado ''Aqui,sou uma pessoa ilustre''.;3
272;272;272;14;18;O medo e a campanha foi um sucesso.;2
255;255;255;14;20;Foi o criador do Zé Gotinha.;3
273;273;273;14;21;Significa ter muito medo.;3
274;274;274;14;22;Foi selecionado do arquivo de Darlan Rosa,seu criador.;3
256;256;256;14;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
257;257;257;14;26;Foi criado em 1986.;3
263;263;263;14;27;Incentivar as crianças a se vacinarem sem medo.;3
258;258;258;14;28;Era um boneco com duas gotinhas de pólio.Atualmente ele ele tem braços e pernas.;
259;259;259;14;30;É porque ele ainda não tinha nome.;3
260;260;260;14;32;Através de um concurso.;2
261;261;261;14;34;Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.;3
262;262;262;14;36;Foi um menino do Distrito Federal.;3
275;275;275;15;1;Zé Gotinha e o mascote da vacina.;2
285;285;285;15;5;Porque ela  e para o nosso bem.;2
287;287;287;15;6;Doença que causa paralisia infantil.;3
286;286;286;15;7;Porque a vacina nos protege.;2
288;288;288;15;11;Porque era meio de comunicação daquela época.;3
289;289;289;15;13;Porque ele ele transmiti coragem e força.;
290;290;290;15;15;Atualmente ele trabalha como escultor.;3
291;291;291;15;16;Esse recurso serve para transcrever falas.;2
292;292;292;15;17;SUBLINHADO:DARLAM VIROU NOME DE PRÉDiO RESIDENCIAL NA CIDADE:''Circulado aqui,sou uma pessoa ilustre''.;3
293;293;293;15;18;O medo e a campanha foi um sucesso.;3
276;276;276;15;20;O criador do Zé Gotinha.;3
294;294;294;15;21;Significa ter muito medo.;3
295;295;295;15;22;Foi selecionado no arquivo pessoal de DARLAN Rosa,seu criador.;3
277;277;277;15;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
278;278;278;15;26;1986.;3
284;284;284;15;27;Incentivar a tomar vacina sem medo.;3
279;279;279;15;28;era um boneco com duas gotas de pólio.Hoje ele tem braços e pernas.;3
280;280;280;15;30;Pois ele não tinha nome.;3
281;281;281;15;32;Através de um concurso.;2
282;282;282;15;34;Pela quantidade de cartas com o nome Zé Gotinha.;3
283;283;283;15;36;Foi um menino do Distrito Federal.;3
296;296;296;16;1;Zé Gotinha era o mascote da vacina.;2
306;306;306;16;5;A vacina é um assunto sério pois ajuda a nos proteger de doenças como a febre amarela.;3
308;308;308;16;6;"Poliomielite é uma doença que causa paralisia nas crianças portanto ela não roda mais pelo
Brasil.";3
307;307;307;16;7;Não é preciso ter medo de tomar vacina pois ela serve para o nosso próprio bem.;2
309;309;309;16;11;Eu acredito que que seja pelo fato de ser o meio de correspondência da época.;3
310;310;310;16;13;Há no personagem coragem.;2
311;311;311;16;15;Atualmente ele trabalha como escultor em Brasília.;3
312;312;312;16;16;Esse recurso serve para transcrever as falar criador do personagem.;3
313;313;313;16;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade.
Circulado: ""Aqui sou uma pessoa ilustre."" Brincou o mesmo.";3
314;314;314;16;18;"Barreira dos medos: Barreira dos medos seria o medo que as crianças sentiam de tomar uma agulhada.
Deslanchou: A campanha ficou famosa por isso ele usou a gíria deslanchou.";2
297;297;297;16;20;Darlan Rosa é o criador do Zé Gotinha.;3
315;315;315;16;21;Morrer de medo: significa sentir muito medo, ser um pesadelo para todas as crianças.;3
316;316;316;16;22;A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa, o seu criador.;3
298;298;298;16;25;As propagandas eram totalmente assustadoras antes do Zé Gotinha.;2
299;299;299;16;26;O Zé Gotinha foi criado em 1986.;3
305;305;305;16;27;"A ideia principal do Zé Gotinha era incentivar as crianças a se vacinarem sem sentir medo 
já que isso era para o próprio bem das mesmas.";3
300;300;300;16;28;"Quando o Zé Gotinha nasceu ele foi criado com apenas duas gotinha de pólio. Atualmente o 
mesmo possui cabeça ,braços e pernas.";2
301;301;301;16;30;Zé Gotinha apareceu no comercial chorando pois o mesmo não possuia um certo nome.;3
302;302;302;16;32;A escolha do nome do Zé Gotinha foi feita por um concurso de telespectadores que assistiram o comercial.;2
303;303;303;16;34;Os organizadores entenderam que o nome deveria ser Zé Gotinha pois receberão mais de 10 mil cartas falando esse nome.;3
304;304;304;16;36;Quem levou o prêmio foi um jovem do Distrito Federal.;3
317;317;317;17;1;o  mascote da vacina;2
327;327;327;17;5;Porque a vacina protege contra doenças.;3
329;329;329;17;6;Doença que causa paralisia nas crianças.;3
328;328;328;17;7;Porque a vacina é para o nosso bem, para nos proteger;2
330;330;330;17;11;Porque era o meio de correspondência da época;3
331;331;331;17;13;Possui uma expressão dócil, amável que derruba as barreiras do medo;2
332;332;332;17;15;Atualmente ele trabalha como escultor;3
333;333;333;17;16;Para transcrever a fala das pessoas que participam da reportagem;2
334;334;334;17;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade. Circulado: ""Aqui, sou uma pessoa ilustre""";3
335;335;335;17;18;O medo acabou e a  campanha foi um sucesso;3
318;318;318;17;20;foi o criador do Zé Gotinha;3
336;336;336;17;21;Ter muito medo;3
337;337;337;17;22;Foi selecionado do arquivo pessoal de Darlan Rosa, seu criador;3
319;319;319;17;25;Eram assustadoras;2
320;320;320;17;26;Em 1986;3
326;326;326;17;27;Era incentivar as crianças vacinarem sem medo.;3
321;321;321;17;28;Era um boneco com duas gotinhas de pólio. Hoje ele tem braços e pernas.;3
322;322;322;17;30;Estava triste por ainda não ter um nome;3
323;323;323;17;32;Através de um concurso.;2
324;324;324;17;34;Porque foram enviadas mais de 10 mil cartas com o nome Zé Gotinha;3
325;325;325;17;36;Um menino do Distrito Federal;3
338;338;338;18;1;Zé Gotinha foi o mascote da vacina.;2
348;348;348;18;5;Porque a vacina é para o nosso bem.;2
350;350;350;18;6;Doença que causa paralisia nas crianças.;3
349;349;349;18;7;Porque a vacina nos protege.;2
351;351;351;18;11;Porque era o meio de correspondência da época.;
352;352;352;18;13;Porque ele transmite força e coragem.;3
353;353;353;18;15;Atualmente ele trabalha como escultor.;3
354;354;354;18;16;Esse recurso serve para transcrever as falas.;2
355;355;355;18;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade.

Circulado: ""Aqui ,sou uma pessoa ilustre"".";3
356;356;356;18;18;O medo acabou e a campanha foi um sucesso.;3
339;339;339;18;20;Darlan Rosa foi o criador do Zé Gotinha.;3
357;357;357;18;21;Significa ter muito medo.;3
358;358;358;18;22;Foi selecionado do arquivo pessoal Darlan Rosa, seu criador.;3
340;340;340;18;25;As propagandas eram assustadoras antes do Zé Gotinha.;2
341;341;341;18;26;Ele foi criado em 1986.;3
347;347;347;18;27;A ideia principal da campanha do Zé Gotinha era incentivar as crianças a se vacinarem sem medo.;3
342;342;342;18;28;Era um boneco com duas gotinhas pólio, atualmente ele tem braços e pernas.;3
343;343;343;18;30;Ele chorava pois não tinha um nome.;3
344;344;344;18;32;Através de um concurso.;2
345;345;345;18;34;Porque foram enviadas mais de dez mil cartas com o nome Zé Gotinha.;3
346;346;346;18;36;Foi um menino do Distrito Federal que levou o prêmio.;3
359;359;359;19;1;Zé Gotinha é o mascote da vacina .;2
369;369;369;19;5;Porque a vacina é para o nosso bem.;2
371;371;371;19;6;Doença que causa paralisia nas crianças.;3
370;370;370;19;7;Porque a vacina nos protege de doenças.;3
372;372;372;19;11;Porque era o meio de correspondência da época.;
373;373;373;19;13;Porque ele transmite força e coragem.;3
374;374;374;19;15;Atualmente ele trabalha como escultor.;3
375;375;375;19;16;Esse recurso serve para transcrever as falas.;2
376;376;376;19;17;"Sublinhado: Darlan virou até nome de prédio residencial na cidade 

Circulado:""Aqui ,sou uma pessoa ilustre"".";3
377;377;377;19;18;O medo acabou e campanha foi um sucesso.;3
360;360;360;19;20;Darlan Rosa foi o criador do zé gotinha .;3
378;378;378;19;21;Significa ter muito medo.;3
379;379;379;19;22;Foi selecionado do arquivo pessoal Darlan Rosa ,seu criador.;3
361;361;361;19;25;As propagandas eram assustadoras antes do zé gotinha .;2
362;362;362;19;26;Ele foi criado em 1986 .;3
368;368;368;19;27;Incentivar as crianças a se vacinarem sem medo.;3
363;363;363;19;28;Era um boneco com duas gotinhas de pólio. Hoje em dia ele tem braços e pernas.;3
364;364;364;19;30;Ele aparecia chorando ,pois ele não tinha um nome.;3
365;365;365;19;32;A escolha foi feita através de um concurso.;2
366;366;366;19;34;Porque foram enviadas mais de dez mil cartas com o nome zé Gotinha.;
367;367;367;19;36;Foi um menino do Distrito Federal .;3
380;380;380;20;1;Zé Gotinha era um mascote que representava a vacina da poliomielite com o objetivo de passar coragem as pessoas para que elas se vacinassem.;2
390;390;390;20;5;Vacina é um assunto sério, pois é por meio dela que as pessoas podem se imunizar de uma doença perigosa ou letal. Se houver falta dela, você está exposto a doença e podem ocorrer danos gravíssimos ao seu corpo por causa dela.;4
392;392;392;20;6;Poliomielite é uma doença que causa paralisia nas crianças e não circula mais no Brasil desde de 1994.;3
391;391;391;20;7;Não é preciso ter medo, pois a vacina é apenas um bem que ajudará seu corpo a resistir a doenças e não será algo doloroso como as crianças pensam.;3
393;393;393;20;11;Ele poderia ter sido feito por meio de cartas, pois assim os organizadores poderiam saber as ideias de cada criança expressadas no papel, de modo que todas as cartas fossem lidas.;1
394;394;394;20;13;Ninguém nunca tinha visto tanta carisma em um personagem, por isso elas sentiam empatia.;2
395;395;395;20;15;O criador do personagem Zé Gotinha trabalha atualmente como escultor e suas criações podem ser vistas no Centro Cultural Banco do Brasil.;3
396;396;396;20;16;As aspas servem para indicar a fala de uma pessoa no texto.;2
397;397;397;20;17;"Pedaço sublinhado: virou nome até de prédio residencial na cidade.
Pedaço circulado: aqui, sou uma pessoa ilustre.";2
398;398;398;20;18;O sentido dado foi de que as pessoas não possuem mais medo e de que a campanha tornou-se um sucesso.;3
381;381;381;20;20;Darlan Rosa é o pai do personagem Zé Gotinha, criado em 1986.;2
399;399;399;20;21;"A expressão ""morrer de medo"" significa que a pessoa está com tanto medo como se estivesse morrendo disso.";3
400;400;400;20;22;A reportagem selecionou  esse desenho do Arquivo pessoal do criador do personagem.;3
382;382;382;20;25;Os médicos da época achavam que como a vacinação era algo sério, sua propaganda tinha de passar medo e ser assustadora, assim as pessoas teriam medo de ficar doente.;3
383;383;383;20;26;Zé Gotinha foi criado em 1986.;3
389;389;389;20;27;A principal ideia era que alguém forte passasse coragem para quem tinha que que se vacinar.;3
